ID,Name,RequType,RequAmount,Cost,Type1,Type2,Type3,Type4,Slot,DescriptionText,FlavorText,CardPool1,CardPool2,Unlock,Shop,var1,var2,var3,var4,var5,var6,var7,var8,var9
021,Empty Bottle,,,1,,,,,Event,THROW PWR +var1. Deals var2 DMG and makes var3 Sound on impact.,,Neutral,,0,,5,1,10,,,,,,
022,Rollerblades,,,1,,,,,Event,Raises wearer's SPD by var1,,Phib,,1,,1,,,,,,,,
023,Hack & Dash,,,2,,,,,Event,MOVE var1 and HACK INT on all passing hackables.,,Phib,,1,,6,,,,,,,,
024,Lock Door,,,2,,,,,Event,Makes a close door impassable for enemies.,,Phib,,1,,,,,,,,,,
025,Robbie,,,1,,,,,Event,PLACE. Robbie moves var1 toward target tile in range var2 before every enemy turn. Will make enemies suspicious.,,Phib,,1,,5,15,,,,,,,
026,Wi-Fi Hack,,,2,,,,,Event,Choose hackable target in range var1 and HACK INT +var1,,Phib,,1,,5,4,,,,,,,
027,give me a sec,,,0,,,,,Event,HACK INT,,Phib,,1,,,,,,,,,,
028,ProtoTab,,,2,,,,,Event,var1 AP: HACK INT +var2,,Neutral,,1,,1,3,,,,,,,
029,Swoosh,,,0,,,,,Event,MOVE SPD,,Neutral,,1,,,,,,,,,,
030,Hack Device,,,1,,,,,Event,HACKS var1 per turn,,Neutral,,1,,3,,,,,,,,
031,AR Goggles,,,2,,,,,Event,Raises wearer's INT by var1,,Neutral,,1,,1,,,,,,,,
032,,,,,,,,,,,,,,,,,,,,,,,,
033,,,,,,,,,,,,,,,,,,,,,,,,
034,,,,,,,,,,,,,,,,,,,,,,,,
035,,,,,,,,,,,,,,,,,,,,,,,,
036,,,,,,,,,,,,,,,,,,,,,,,,
037,,,,,,,,,,,,,,,,,,,,,,,,
038,,,,,,,,,,,,,,,,,,,,,,,,
039,,,,,,,,,,,,,,,,,,,,,,,,
040,,,,,,,,,,,,,,,,,,,,,,,,
041,,,,,,,,,,,,,,,,,,,,,,,,
042,,,,,,,,,,,,,,,,,,,,,,,,
043,,,,,,,,,,,,,,,,,,,,,,,,
044,,,,,,,,,,,,,,,,,,,,,,,,
045,,,,,,,,,,,,,,,,,,,,,,,,
046,,,,,,,,,,,,,,,,,,,,,,,,
047,,,,,,,,,,,,,,,,,,,,,,,,
048,,,,,,,,,,,,,,,,,,,,,,,,
049,,,,,,,,,,,,,,,,,,,,,,,,
050,,,,,,,,,,,,,,,,,,,,,,,,
051,,,,,,,,,,,,,,,,,,,,,,,,
052,,,,,,,,,,,,,,,,,,,,,,,,
053,,,,,,,,,,,,,,,,,,,,,,,,
054,,,,,,,,,,,,,,,,,,,,,,,,
055,,,,,,,,,,,,,,,,,,,,,,,,
056,,,,,,,,,,,,,,,,,,,,,,,,
057,,,,,,,,,,,,,,,,,,,,,,,,
058,,,,,,,,,,,,,,,,,,,,,,,,
059,,,,,,,,,,,,,,,,,,,,,,,,
060,,,,,,,,,,,,,,,,,,,,,,,,
061,,,,,,,,,,,,,,,,,,,,,,,,
062,,,,,,,,,,,,,,,,,,,,,,,,
063,,,,,,,,,,,,,,,,,,,,,,,,
064,,,,,,,,,,,,,,,,,,,,,,,,
065,,,,,,,,,,,,,,,,,,,,,,,,
066,,,,,,,,,,,,,,,,,,,,,,,,
067,,,,,,,,,,,,,,,,,,,,,,,,
068,,,,,,,,,,,,,,,,,,,,,,,,
069,,,,,,,,,,,,,,,,,,,,,,,,
070,,,,,,,,,,,,,,,,,,,,,,,,
071,,,,,,,,,,,,,,,,,,,,,,,,
072,,,,,,,,,,,,,,,,,,,,,,,,
073,,,,,,,,,,,,,,,,,,,,,,,,
074,,,,,,,,,,,,,,,,,,,,,,,,
075,,,,,,,,,,,,,,,,,,,,,,,,
076,,,,,,,,,,,,,,,,,,,,,,,,
077,,,,,,,,,,,,,,,,,,,,,,,,
078,,,,,,,,,,,,,,,,,,,,,,,,
079,,,,,,,,,,,,,,,,,,,,,,,,
080,,,,,,,,,,,,,,,,,,,,,,,,
081,,,,,,,,,,,,,,,,,,,,,,,,
082,,,,,,,,,,,,,,,,,,,,,,,,
083,,,,,,,,,,,,,,,,,,,,,,,,
084,,,,,,,,,,,,,,,,,,,,,,,,
085,,,,,,,,,,,,,,,,,,,,,,,,
086,,,,,,,,,,,,,,,,,,,,,,,,
087,,,,,,,,,,,,,,,,,,,,,,,,
088,,,,,,,,,,,,,,,,,,,,,,,,
089,,,,,,,,,,,,,,,,,,,,,,,,
090,,,,,,,,,,,,,,,,,,,,,,,,
091,,,,,,,,,,,,,,,,,,,,,,,,
092,,,,,,,,,,,,,,,,,,,,,,,,
093,,,,,,,,,,,,,,,,,,,,,,,,
094,,,,,,,,,,,,,,,,,,,,,,,,
095,,,,,,,,,,,,,,,,,,,,,,,,
096,,,,,,,,,,,,,,,,,,,,,,,,
097,,,,,,,,,,,,,,,,,,,,,,,,
098,,,,,,,,,,,,,,,,,,,,,,,,
099,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,
